cod_interno,titulo,precio_base_archivo,precio_lista_firestore,precio_mayorista_old,precio_mayorista_new,precio_negocio_old,precio_negocio_new,precio_persona_natural_old,precio_persona_natural_new,precio_nuevos_old,precio_nuevos_new,es_excepcion_KQ,estado
"VJ704","Vinilo  Super  1/2 Galón Melon",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ703","Vinilo  Super  1/2 Galón Mandarina Tropical",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ702","Vinilo  Super  1/2 Galón Naranja Chic",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ701","Vinilo  Super  1/2 Galón Naranaja Tropical",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ700","Vinilo  Super  1/2 Galón Naranja",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ619","Vinilo  Super  1/2 Galón Verde Tropical",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ617","Vinilo  Super  1/2 Galón Verde Aceituna",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ616","Vinilo  Super  1/2 Galón Verde Navidad",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ615","Vinilo  Super  1/2 Galón Menta Fresca",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ611","Vinilo  Super  1/2 Galón Verde Pìno",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ610","Vinilo  Super  1/2 Galón Verde Manzana",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ609","Vinilo  Super  1/2 Galón Verde Seda",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ608","Vinilo  Super  1/2 Galón Verde Agua",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ607","Vinilo  Super  1/2 Galón Verde Chartreuse",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ606","Vinilo  Super  1/2 Galón Verde Cariñoso",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ605","Vinilo  Super  1/2 Galón Verde Ensueño",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ604","Vinilo  Super  1/2 Galón Verde Jaimaquino",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ603","Vinilo  Super  1/2 Galón Verde Primaveral",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ602","Vinilo  Super  1/2 Galón Verde Claro",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ601","Vinilo  Super  1/2 Galón Verde Oscuro",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ502","Vinilo  Super  1/2 Galón Gris Basalto",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ501","Vinilo  Super  1/2 Galón Gris Nube",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ400","Vinilo  Super  1/2 Galón Negro",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ304","Vinilo  Super  1/2 Galón Crema",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ303","Vinilo  Super  1/2 Galón Blanco Hueso",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ302","Vinilo  Super  1/2 Galón Blanco Ostra",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ301","Vinilo  Super  1/2 Galón Blanco Almendra",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ300","Vinilo  Super  1/2 Galón Blanco",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ208","Vinilo  Super  1/2 Galón Rojo Emociòn",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ204","Vinilo  Super  1/2 Galón Terracota",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ203","Vinilo  Super  1/2 Galón Arrecife",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ202","Vinilo  Super  1/2 Galón Mora",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ201","Vinilo  Super  1/2 Galón Rojacolonial",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ106","Vinilo  Super  1/2 Galón Azul Cielo",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ105","Vinilo  Super  1/2 Galón Azul Porcelana",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ104","Vinilo  Super  1/2 Galón Azul Celeste",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ103","Vinilo  Super  1/2 Galón Azul Nordico",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ102","Vinilo  Super  1/2 Galón Azul Pacifico",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ101","Vinilo  Super  1/2 Galón Azul Milano",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ100","Vinilo  Super  1/2 Galón Azul",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ08","Vinilo  Super  1/2 Galón Amarillo Otoñal",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ07","Vinilo  Super  1/2 Galón Trigo",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ06","Vinilo  Super  1/2 Galón Ocre",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ05","Vinilo  Super  1/2 Galón Camelia",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ04","Vinilo  Super  1/2 Galón Amarillo Oro",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VJ03","Vinilo  Super  1/2 Galón Amarillo Fusion",12665.54,12666,16466,16465,17099,17098,17732,17732,18366,18365,NO,actualizado
"VG914","Vinilo Tipo 1 Super Lavable Galón Taupe Sw7038",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG906","Vinilo Tipo 1  Super Lavable   Galón Castaño",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG903","Vinilo Tipo 1  Super Lavable   Galón Cipres",39651,39651,51546,51546,53529,53529,55511,55511,57494,57494,NO,sin_cambio_base
"VG900","Vinilo Tipo 1  Super Lavable   Galón Champaña",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG803","Vinilo Tipo 1  Super Lavable   Galón Uva",39651,39651,51546,51546,53529,53529,55511,55511,57494,57494,NO,sin_cambio_base
"VG802","Vinilo Tipo 1  Super Lavable   Galón Lila",39651,39651,51546,51546,53529,53529,55511,55511,57494,57494,NO,sin_cambio_base
"VG801","Vinilo Tipo 1  Super Lavable   Galón Morado",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG800","Vinilo Tipo 1  Super Lavable   Galón Violeta",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG710","Vinilo Tipo 1  Super Lavable Galón Naranja Fiesta Otoñal",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG708","Vinilo Tipo 1  Super Lavable   Galón Thai",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG707","Vinilo Tipo 1  Super Lavable   Galón Pomarosa",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG706","Vinilo Tipo 1  Super Lavable   Galón Palo De Rosa",39651,39651,51546,51546,53529,53529,55511,55511,57494,57494,NO,sin_cambio_base
"VG705","Vinilo Tipo 1  Super Lavable   Galón Curuba",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG704","Vinilo Tipo 1  Super Lavable   Galón Melon",39651,39651,51546,51546,53529,53529,55511,55511,57494,57494,NO,sin_cambio_base
"VG703","Vinilo Tipo 1  Super Lavable   Galón Mandarina Tropical",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG702","Vinilo Tipo 1  Super Lavable   Galón Naranja Chic",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG701","Vinilo Tipo 1  Super Lavable   Galón Naranaja Tropical",39651,39651,51546,51546,53529,53529,55511,55511,57494,57494,NO,sin_cambio_base
"VG700","Vinilo Tipo 1  Super Lavable   Galón Naranja",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG619","Vinilo Tipo 1  Super Lavable   Galón Verde Tropical",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG617","Vinilo Tipo 1  Super Lavable   Galón Verde Aceituna",39651,39651,51546,51546,53529,53529,55511,55511,57494,57494,NO,sin_cambio_base
"VG616","Vinilo Tipo 1  Super Lavable   Galón Verde Navidad",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG615","Vinilo Tipo 1  Super Lavable   Galón Menta Fresca",39651,39651,51546,51546,53529,53529,55511,55511,57494,57494,NO,sin_cambio_base
"VG613","Vinilo Tipo 1  Super Lavable   Galón Verde Turqueza",46368,46368,60278,60278,62597,62597,64915,64915,67234,67234,NO,sin_cambio_base
"VG611","Vinilo Tipo 1  Super Lavable   Galón Verde Pìno",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG610","Vinilo Tipo 1  Super Lavable   Galón Verde Manzana",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG609","Vinilo Tipo 1  Super Lavable   Galón Verde Seda",39651,39651,51546,51546,53529,53529,55511,55511,57494,57494,NO,sin_cambio_base
"VG608","Vinilo Tipo 1  Super Lavable   Galón Verde Agua",39651,39651,51546,51546,53529,53529,55511,55511,57494,57494,NO,sin_cambio_base
"VG607","Vinilo Tipo 1  Super Lavable   Galón Verde Chartreuse",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
