cod_interno,titulo,precio_base_archivo,precio_lista_firestore,precio_mayorista_old,precio_mayorista_new,precio_negocio_old,precio_negocio_new,precio_persona_natural_old,precio_persona_natural_new,precio_nuevos_old,precio_nuevos_new,es_excepcion_KQ,estado
"VB302","Vinilo Tipo 1  Super Lavable   1/2 Cuñete Blanco Ostra",99128,99128,128866,128866,133823,133823,138779,138779,143736,143736,NO,sin_cambio_base
"VB301","Vinilo Tipo 1  Super Lavable 1/2 Cuñete Blanco Almendra",69909.2,69909,90882,90882,94377,94377,97873,97873,101368,101368,NO,actualizado
"VB300","Vinilo Tipo 1  Super Lavable 1/2 Cuñete Blanco",69909.2,69909,90882,90882,94377,94377,97873,97873,101368,101368,NO,actualizado
"VB208","Vinilo Tipo 1  Super Lavable   1/2 Cuñete Rojo Emociòn",99128,99128,128866,128866,133823,133823,138779,138779,143736,143736,NO,sin_cambio_base
"VB204","Vinilo Tipo 1  Super Lavable 1/2 Cuñete Terracota",69909.2,69909,90882,90882,94377,94377,97873,97873,101368,101368,NO,actualizado
"VB203","Vinilo Tipo 1  Super Lavable   1/2 Cuñete Arrecife",99128,99128,128866,128866,133823,133823,138779,138779,143736,143736,NO,sin_cambio_base
"VB202","Vinilo Tipo 1  Super Lavable   1/2 Cuñete Mora",99128,99128,128866,128866,133823,133823,138779,138779,143736,143736,NO,sin_cambio_base
"VB201","Vinilo Tipo 1  Super Lavable 1/2 Cuñete Rojo Colonial",69909.2,69909,90882,90882,94377,94377,97873,97873,101368,101368,NO,actualizado
"VB200","Vinilo Tipo 1  Super Lavable 1/2 Cuñete Rojo",69909.2,69909,90882,90882,94377,94377,97873,97873,101368,101368,NO,actualizado
"VB107","Vinilo Tipo 1  Super Lavable   1/2 Cuñete Agua Marina",99128,99128,128866,128866,133823,133823,138779,138779,143736,143736,NO,sin_cambio_base
"VB106","Vinilo Tipo 1  Super Lavable 1/2 Cuñete Azul Cielo",69909.2,69909,90882,90882,94377,94377,97873,97873,101368,101368,NO,actualizado
"VB105","Vinilo Tipo 1  Super Lavable   1/2 Cuñete Azul Porcelana",99128,99128,128866,128866,133823,133823,138779,138779,143736,143736,NO,sin_cambio_base
"VB104","Vinilo Tipo 1  Super Lavable   1/2 Cuñete Azul Celeste",99128,99128,128866,128866,133823,133823,138779,138779,143736,143736,NO,sin_cambio_base
"VB103","Vinilo Tipo 1  Super Lavable   1/2 Cuñete Azul Nordico",99128,99128,128866,128866,133823,133823,138779,138779,143736,143736,NO,sin_cambio_base
"VB102","Vinilo Tipo 1  Super Lavable   1/2 Cuñete Azul Pacifico",99128,99128,128866,128866,133823,133823,138779,138779,143736,143736,NO,sin_cambio_base
"VB101","Vinilo Tipo 1  Super Lavable   1/2 Cuñete Azul Milano",99128,99128,128866,128866,133823,133823,138779,138779,143736,143736,NO,sin_cambio_base
"VB100","Vinilo Tipo 1  Super Lavable   1/2 Cuñete Azul",99128,99128,128866,128866,133823,133823,138779,138779,143736,143736,NO,sin_cambio_base
"VB08","Vinilo Tipo 1  Super Lavable   1/2 Cuñete Amarillo Otoñal",99128,99128,128866,128866,133823,133823,138779,138779,143736,143736,NO,sin_cambio_base
"VB07","Vinilo Tipo 1  Super Lavable   1/2 Cuñete Trigo",99128,99128,128866,128866,133823,133823,138779,138779,143736,143736,NO,sin_cambio_base
"VB06","Vinilo Tipo 1  Super Lavable   1/2 Cuñete Ocre",69909.2,69909,90882,90882,94377,94377,97873,97873,101368,101368,NO,actualizado
"VB05","Vinilo Tipo 1  Super Lavable   1/2 Cuñete Camelia",69909.2,69909,90882,90882,94377,94377,97873,97873,101368,101368,NO,actualizado
"VB04","Vinilo Tipo 1  Super Lavable   1/2 Cuñete Amarillo Oro",99128,99128,128866,128866,133823,133823,138779,138779,143736,143736,NO,sin_cambio_base
"VB03","Vinilo Tipo 1  Super Lavable   1/2 Cuñete Amarillo Fusion",99128,99128,128866,128866,133823,133823,138779,138779,143736,143736,NO,sin_cambio_base
"VB01","Vinilo Tipo 1  Super Lavable   1/2 Cuñete Amarillo",99128,99128,128866,128866,133823,133823,138779,138779,143736,143736,NO,sin_cambio_base
"UZ","Pegante Papel - Carton 1/8",2615.2,2615,3400,3400,3530,3531,3661,3661,3792,3792,NO,actualizado
"UX","Pegante Papel - Carton  1/4",6384.8,6385,8301,8300,8620,8619,8939,8939,9258,9258,NO,actualizado
"UG","Pegante Papel - Carton Galón",22384.8,22385,29101,29100,30220,30219,31339,31339,32458,32458,NO,actualizado
"UC","Pegante Papel - Carton Cuñete",104615.2,104615,136000,136000,141230,141231,146461,146461,151692,151692,NO,actualizado
"TPLASTICO","Tambor Plastico",30000,30000,39000,39000,40500,40500,42000,42000,43500,43500,NO,sin_cambio_base
"TG700","P.Acrilica Traf Pesado Galón Naranja",64000,64000,83200,83200,86400,86400,89600,89600,92800,92800,NO,sin_cambio_base
"TG624","P.Acrilica Traf Pesado Galón Verde Oliva",52000,52000,67600,67600,70200,70200,72800,72800,75400,75400,NO,sin_cambio_base
"TG600","P.Acrilica Traf Pesado Galón Verde",52000,52000,67600,67600,70200,70200,72800,72800,75400,75400,NO,sin_cambio_base
"TG502","P.Acrilica Traf Pesado Galón Gris Basalto",48000,48000,62400,62400,64800,64800,67200,67200,69600,69600,NO,sin_cambio_base
"TG501","P.Acrilica Traf Pesado Galón Gris Nube",48000,48000,62400,62400,64800,64800,67200,67200,69600,69600,NO,sin_cambio_base
"TG500","P.Acrilica Traf Pesado Galón Gris",48000,48000,62400,62400,64800,64800,67200,67200,69600,69600,NO,sin_cambio_base
"TG400","P.Acrilica Traf Pesado Galón Negro",46800,46800,60840,60840,63180,63180,65520,65520,67860,67860,NO,sin_cambio_base
"TG300","P.Acrilica Traf Pesado Galón Blanco",48400,48400,62920,62920,65340,65340,67760,67760,70180,70180,NO,sin_cambio_base
"TG201","P.Acrilica Traf Pesado Galón Rojo Colonial",41600,41600,54080,54080,56160,56160,58240,58240,60320,60320,NO,sin_cambio_base
"TG200","P.Acrilica Traf Pesado Galón Rojo",64000,64000,83200,83200,86400,86400,89600,89600,92800,92800,NO,sin_cambio_base
"TG104","P.Acrilica Traf Pesado Galón Azul Celeste",49600,49600,64480,64480,66960,66960,69440,69440,71920,71920,NO,sin_cambio_base
"TG100","P.Acrilica Traf Pesado Galón Azul",49600,49600,64480,64480,66960,66960,69440,69440,71920,71920,NO,sin_cambio_base
"TG06","P.Acrilica Traf Pesado Galón Ocre",52800,52800,68640,68640,71280,71280,73920,73920,76560,76560,NO,sin_cambio_base
"TG01","P.Acrilica Traf Pesado Galón Amarilla",52800,52800,68640,68640,71280,71280,73920,73920,76560,76560,NO,sin_cambio_base
"TCONTAMINADO","Tambor Contaminado",5000,5000,6500,6500,6750,6750,7000,7000,7250,7250,NO,sin_cambio_base
"TCERRADO","Tambor Cerrado",4000,4000,5200,5200,5400,5400,5600,5600,5800,5800,NO,sin_cambio_base
"TC400","P.Acrilica Traf Pesado Cuñete Negro",300000,300000,390000,390000,405000,405000,420000,420000,435000,435000,NO,sin_cambio_base
"TC300","P.Acrilica Traf Pesado Cuñete Blanco",290000,290000,377000,377000,391500,391500,406000,406000,420500,420500,NO,sin_cambio_base
"TC100","P.Acrilica Traf Pesado Cuñete Azul",300000,300000,390000,390000,405000,405000,420000,420000,435000,435000,NO,sin_cambio_base
"TC01","P.Acrilica Traf Pesado Cuñete Amarilla",323076.92,323077,420000,420000,436154,436154,452308,452308,468462,468462,NO,actualizado
"TARO","Tambor Tapa Aro",3000,3000,3900,3900,4050,4050,4200,4200,4350,4350,NO,sin_cambio_base
"TAPAC","Tapa Cuñete",2308,2308,3000,3000,3116,3116,3231,3231,3347,3347,NO,sin_cambio_base
"SÑ","Soldadura Pvc 1/32",2908.4,2908,3780,3781,3926,3926,4071,4072,4217,4217,NO,actualizado
"SZ","Soldadura Pvc 1/8",10364.8,10365,13475,13474,13993,13992,14511,14511,15029,15029,NO,actualizado
"SX","Soldadura Pvc 1/4",16462.4,16462,21401,21401,22224,22224,23047,23047,23870,23870,NO,actualizado
"SX","Soldadura Pvc 1/4",16462.4,16462,21401,21401,22224,22224,23047,23047,23870,23870,NO,actualizado
"SS","Soldadura Pvc 1/64",1756.8,1757,2284,2284,2372,2372,2460,2460,2548,2547,NO,actualizado
"SR","Soldadura Pvc 1/128",1029.2,1029,1338,1338,1389,1389,1441,1441,1492,1492,NO,actualizado
"SG5","Soldadura Pvc Galón X 5",270000,270000,351000,351000,364500,364500,378000,378000,391500,391500,NO,sin_cambio_base
"SG4","Soldadura Pvc Galón X 4",280000,280000,364000,364000,378000,378000,392000,392000,406000,406000,NO,sin_cambio_base
"SG3","Soldadura Pvc Galón X 3",210000,210000,273000,273000,283500,283500,294000,294000,304500,304500,NO,sin_cambio_base
"SG","Soldadura Pvc  Galón",60000,60000,78000,78000,81000,81000,84000,84000,87000,87000,NO,sin_cambio_base
"SDME","Servicio Manejo De Estañones",152000,152000,197600,197600,205200,205200,212800,212800,220400,220400,NO,sin_cambio_base
"SD","Soldadura Pvc 1/16",7241.6,7242,9415,9414,9777,9776,10139,10138,10501,10500,NO,actualizado
"RÑ","Soldadura Pvc Rapida 1/32",5915.2,5915,7690,7690,7985,7986,8281,8281,8577,8577,NO,actualizado
"RZ","Soldadura Pvc Rapida 1/8",17616,17616,22901,22901,23782,23782,24662,24662,25543,25543,NO,sin_cambio_base
"RX","Soldadura Pvc Rapida 1/4",28968.4,28968,37658,37659,39107,39107,40555,40556,42004,42004,NO,actualizado
"RS","Soldadura Pvc Rapida 1/64",3504.8,3505,4557,4556,4732,4731,4907,4907,5082,5082,NO,actualizado
"RR","Soldadura Pvc Rapida 1/128",1663.2,1663,2162,2162,2245,2245,2328,2328,2411,2412,NO,actualizado
"RG5","Soldadura Pvc Rapida Galón X 5",304999.76,305000,396500,396500,411750,411750,427000,427000,442250,442250,NO,actualizado
"RG4","Soldadura Pvc Rapida Galón X 4",380800,380800,495040,495040,514080,514080,533120,533120,552160,552160,NO,sin_cambio_base
"RG3","Soldadura Pvc Rapida Galón X 3",285600,285600,371280,371280,385560,385560,399840,399840,414120,414120,NO,sin_cambio_base
"RG","Soldadura Pvc Rapida Galón",68999.84,69000,89700,89700,93150,93150,96600,96600,100050,100050,NO,actualizado
"RD","Soldadura Pvc Rapida 1/16",11518.4,11518,14973,14974,15549,15550,16125,16126,16701,16702,NO,actualizado
"RD","Soldadura Pvc Rapida 1/16",11518.4,11518,14973,14974,15549,15550,16125,16126,16701,16702,NO,actualizado
"R9","Espatula Masilla Pequeña",840.33,840,1092,1092,1134,1134,1176,1176,1218,1218,NO,actualizado
"R8","Espatula Mezclador Galón",1680.67,1681,2185,2185,2269,2269,2353,2353,2437,2437,NO,actualizado
"R7","Destapacuñetes",2100.84,2101,2731,2731,2836,2836,2941,2941,3046,3046,NO,actualizado
"R6","Rodillo Espuma Esquinas",10235,10235,13306,13306,13817,13817,14329,14329,14841,14841,NO,sin_cambio_base
"R5","Rodillo Doméstico 9""",5462.18,5462,7101,7101,7374,7374,7647,7647,7920,7920,NO,actualizado
"R4","Rodillo Doméstico 6""",2975,2975,3868,3868,4016,4016,4165,4165,4314,4314,NO,sin_cambio_base
"R3","Rodillo Doméstico 4""",3781.51,3782,4917,4916,5106,5105,5295,5294,5484,5483,NO,actualizado
"R2","Rodillo Doméstico 3""",1499,1499,1949,1949,2024,2024,2099,2099,2174,2174,NO,sin_cambio_base
"R15","Rodillo Epoxico 9 """,8403.4,8403,10924,10924,11344,11345,11764,11765,12184,12185,NO,actualizado
"R14","Cinta De Enmascarar 3/4 Pulgada X 40 M",2941.2,2941,3823,3824,3970,3971,4117,4118,4264,4265,NO,actualizado
"R13","Rodillo De Felpa Profesional 9''",7563.02,7563,9832,9832,10210,10210,10588,10588,10966,10966,NO,actualizado
"R12","Espatula Con Mago Grande 15 Cm (6'')",2100.84,2101,2731,2731,2836,2836,2941,2941,3046,3046,NO,actualizado
"R11","Espatula Masilla Mediana",1260.5,1261,1639,1639,1702,1702,1765,1765,1828,1828,NO,actualizado
"R10","Espatula Con Mago Mediana 7 Cm (3'')",1680.7,1681,2185,2185,2269,2269,2353,2353,2437,2437,NO,actualizado
"R1","Rodillo Doméstico 2""",2941.17,2941,3823,3824,3970,3971,4117,4118,4264,4265,NO,actualizado
"R-AÑ","Soldadura Rapida Pvc Pegado En Humedo 1/32",5915.2,5915,7690,7690,7985,7986,8281,8281,8577,8577,NO,actualizado
"R-AZ","Soldadura Rapida Pvc Pegado En Humedo 1/8",17616,17616,22901,22901,23782,23782,24662,24662,25543,25543,NO,sin_cambio_base
"R-AX","Soldadura Rapida Pvc Pegado En Humedo 1/4",28968.4,28968,37658,37659,39107,39107,40555,40556,42004,42004,NO,actualizado
"R-AS","Soldadura Rapida Pvc Pegado En Humedo 1/64",3496.8,3497,4546,4546,4721,4721,4896,4896,5071,5070,NO,actualizado
"R-AR","Soldadura Rapida Pvc Pegado En Humedo 1/128",1663.2,1663,2162,2162,2245,2245,2328,2328,2411,2412,NO,actualizado
"R-AG5","Soldadura Rapida Pvc Pegado En Humedo Galón X 5",320000,320000,416000,416000,432000,432000,448000,448000,464000,464000,NO,sin_cambio_base
"R-AG","Soldadura Rapida Pvc Pegado En Humedo Galón",75000,75000,97500,97500,101250,101250,105000,105000,108750,108750,NO,sin_cambio_base
"R-AD","Soldadura Rapida Pvc Pegado En Humedo 1/16",11518.4,11518,14973,14974,15549,15550,16125,16126,16701,16702,NO,actualizado
"QX","P.V.A 1/4",3076.8,3077,4000,4000,4154,4154,4308,4308,4462,4461,NO,actualizado
"QG","P.V.A Galón",10154,10154,13200,13200,13708,13708,14216,14216,14723,14723,NO,sin_cambio_base
"QF","P.V.A  Kilo",1750,1750,2275,2275,2363,2363,2450,2450,2538,2538,NO,sin_cambio_base
"QC","P.V.A Cuñete",44230.8,44231,57500,57500,59712,59712,61923,61923,64135,64135,NO,actualizado
"PY","Pegante Amarillo 60 C.C",1223.2,1223,1590,1590,1651,1651,1712,1712,1773,1774,NO,actualizado
"PW","Pegante Amarillo 120 C.C",2174,2174,2826,2826,2935,2935,3044,3044,3152,3152,NO,sin_cambio_base
"PI","Pegante Amarillo 1/2 Botella",5366.8,5367,6977,6977,7245,7245,7514,7514,7782,7782,NO,actualizado
"PG","Pegante Amarillo Galón",37632.4,37632,48922,48922,50803,50804,52685,52685,54566,54567,NO,actualizado
"PE","Pegante Amarillo Botella",9714,9714,12628,12628,13114,13114,13600,13600,14085,14085,NO,sin_cambio_base
"P57","Bolsa Polipropileno Laminada Publicitaria",2941.17,2941,3823,3824,3970,3971,4117,4118,4264,4265,NO,actualizado
"P15","Paca De Envase 1/32 X 63 Und",36225,36225,47093,47093,48904,48904,50715,50715,52526,52526,NO,sin_cambio_base
"P13","Paca Envase De 1/64 X 110 Und",47300,47300,61490,61490,63855,63855,66220,66220,68585,68585,NO,sin_cambio_base
"P12","Paca Envase De 1/128 X 130 Und",45500,45500,59150,59150,61425,61425,63700,63700,65975,65975,NO,sin_cambio_base
"OZ902","Esmalte 1/8 Anoloc Dorado",10000,10000,13000,13000,13500,13500,14000,14000,14500,14500,NO,sin_cambio_base
"OZ900","Esmalte 1/8 Anoloc Champaña",10000,10000,13000,13000,13500,13500,14000,14000,14500,14500,NO,sin_cambio_base
"OZ600","Esmalte 1/8 Anoloc Verde",10000,10000,13000,13000,13500,13500,14000,14000,14500,14500,NO,sin_cambio_base
"OX902","Esmalte 1/4 Anoloc Dorado",15384.8,15385,20001,20000,20770,20769,21539,21539,22308,22308,NO,actualizado
"OX900","Esmalte 1/4 Anoloc Champaña",15384.8,15385,20001,20000,20770,20769,21539,21539,22308,22308,NO,actualizado
"OX600","Esmalte 1/4 Anoloc Verde",15384.8,15385,20001,20000,20770,20769,21539,21539,22308,22308,NO,actualizado
"OG902","Esmalte Galón Anoloc Dorado",51538.4,51538,66999,67000,69576,69577,72153,72154,74730,74731,NO,actualizado
"OG900","Esmalte Galón Anoloc Champaña",51538.4,51538,66999,67000,69576,69577,72153,72154,74730,74731,NO,actualizado
"OG600","Esmalte Galón Anoloc Verde",51538.4,51538,66999,67000,69576,69577,72153,72154,74730,74731,NO,actualizado
"OFXCHG","Oferta Estuco Cuñete + Vinilo Interior Galón Blanco 2019",31513,31513,40967,40967,42543,42543,44118,44118,45694,45694,NO,sin_cambio_base
"OFXCGG","Oferta Estuco Cuñete + Vinilo Cubrieente Galón Blanco 2019",35714,35714,46428,46428,48214,48214,50000,50000,51785,51785,NO,sin_cambio_base
"OFXA","Oferta Estuco Plastico (50 Cajas + 5 Cuñetes)",1527576.9,1527577,1985850,1985850,2062229,2062229,2138608,2138608,2214987,2214987,NO,actualizado
"OFRÑ","Oferta Docena 13 Soldadura Pvc Rapida 1/32 X 26 Und",113082,113082,147007,147007,152661,152661,158315,158315,163969,163969,NO,sin_cambio_base
"OFRZ","Oferta Docena 13 Soldadura Pvc Rapida 1/8 X 13 Und",152673,152673,198475,198475,206109,206109,213742,213742,221376,221376,NO,sin_cambio_base
"OFRX","Oferta Docena 13 Soldadura Pvc Rapida 1/4 X 13 Und",273882,273882,356047,356047,369741,369741,383435,383435,397129,397129,NO,sin_cambio_base
"OFRS","Oferta Docena 13 Soldadura Pvc Rapida 1/64 X 39 Und",100286,100286,130372,130372,135386,135386,140400,140400,145415,145415,NO,sin_cambio_base
"OFRD","Oferta Docena 13 Soldadura Pvc Rapida 1/16 X 13 Und",92148,92148,119792,119792,124400,124400,129007,129007,133615,133615,NO,sin_cambio_base
"OFMCHG","Oferta Masilla Cuñete + Vinilo Interior Galón Blanco 2019",34453,34453,44789,44789,46512,46512,48234,48234,49957,49957,NO,sin_cambio_base
"OD902","Esmalte 1/16 Anoloc Dorado",6158,6158,8005,8005,8313,8313,8621,8621,8929,8929,NO,sin_cambio_base
"OD900","Esmalte 1/16 Anoloc Champaña",6158,6158,8005,8005,8313,8313,8621,8621,8929,8929,NO,sin_cambio_base
"OD600","Esmalte 1/16 Anoloc Verde",6158,6158,8005,8005,8313,8313,8621,8621,8929,8929,NO,sin_cambio_base
"NÑ","Soldadura Cpvc 1/32",6118.4,6118,7953,7954,8259,8260,8565,8566,8871,8872,NO,actualizado
"NZ","Soldadura Cpvc 1/8",20710.8,20711,26924,26924,27960,27960,28995,28995,30031,30031,NO,actualizado
"NX","Soldadura Cpvc 1/4",31997.6,31998,41597,41597,43197,43197,44797,44797,46397,46397,NO,actualizado
"NT-R","Soldadura Cpvc Tubosa 1/128",968.8,969,1260,1259,1308,1308,1357,1356,1405,1405,NO,actualizado
"NS","Soldadura Cpvc 1/64",3770.8,3771,4902,4902,5091,5091,5279,5279,5468,5468,NO,actualizado
"NR","Soldadura Cpvc 1/128",1747.6,1748,2272,2272,2360,2359,2447,2447,2535,2534,NO,actualizado
"NG5","Soldadura Cpvc Galón X 5",304999.76,305000,396500,396500,411750,411750,427000,427000,442250,442250,NO,actualizado
"NG","Soldadura Cpvc  Galón",68999.84,69000,89700,89700,93150,93150,96600,96600,100050,100050,NO,actualizado
"ND","Soldadura Cpvc 1/16",12479.2,12479,16223,16223,16847,16847,17471,17471,18095,18095,NO,actualizado
"MS-Q","Estuco Plastico Bolsa 28 Kg",30000,30000,39000,39000,40500,40500,42000,42000,43500,43500,NO,sin_cambio_base
"MS-G","Masilla Estumastic Galón",158931,158931,206610,206610,214557,214557,222503,222503,230450,230450,NO,sin_cambio_base
"MS-C","Masilla Cuñete Imperio",27755.74,27756,36083,36082,37471,37470,38858,38858,40246,40246,NO,actualizado
"MG","Masilla Max Drywall Galón",7730.8,7731,10050,10050,10437,10437,10823,10823,11210,11210,NO,actualizado
"MC","Masilla Max Drywall Cuñete",29384.8,29385,38201,38200,39670,39669,41139,41139,42608,42608,NO,actualizado
"MB","Masilla Max Drywall 1/2 Cuñete",16333,16333,21233,21233,22050,22050,22866,22866,23683,23683,NO,sin_cambio_base
"MA","Masilla Max Drywall Caja",23658.4,23658,30755,30756,31938,31939,33121,33122,34304,34305,NO,actualizado
"LÑ","Limpiador Pvc- Cpvc  1/32 Rapido",2408.4,2408,3130,3131,3251,3251,3371,3372,3492,3492,NO,actualizado
"LX","Limpiador Pvc- Cpvc  1/4 Rapido",12767.6,12768,16598,16598,17237,17236,17875,17875,18514,18513,NO,actualizado
"LS","Limpiador Pvc- Cpvc  1/64 Rapido",1333.2,1333,1733,1733,1800,1800,1866,1866,1933,1933,NO,actualizado
"LR","Limpiador Pvc- Cpvc 1/128 Rapido",879.2,879,1143,1143,1187,1187,1231,1231,1275,1275,NO,actualizado
"LM","Limpiador Pvc- Cpvc  12 Onzas Rapido",6430.4,6430,8359,8360,8681,8681,9002,9003,9324,9324,NO,actualizado
"KZ907","Esmalte 1/8 Caoba",6094,6094,7922,7922,8227,8227,8532,8532,8836,8836,NO,sin_cambio_base
"KZ904","Esmalte 1/8 Tabaco",6094,6094,7922,7922,8227,8227,8532,8532,8836,8836,NO,sin_cambio_base
"KZ901","Esmalte 1/8 Aluminio",6094,6094,7922,7922,8227,8227,8532,8532,8836,8836,NO,sin_cambio_base
"KZ700","Esmalte 1/8 Naranja",6692,6692,8700,8700,9034,9034,9369,9369,9703,9703,NO,sin_cambio_base
"KZ612","Esmalte 1/8 Verde Esmeralda",6094,6094,7922,7922,8227,8227,8532,8532,8836,8836,NO,sin_cambio_base
"KZ611","Esmalte 1/8 Verde Pino",6094,6094,7922,7922,8227,8227,8532,8532,8836,8836,NO,sin_cambio_base
"KZ500","Esmalte 1/8 Gris",6094,6094,7922,7922,8227,8227,8532,8532,8836,8836,NO,sin_cambio_base
"KZ401","Esmalte 1/8 Negro Mate",6094,6094,7922,7922,8227,8227,8532,8532,8836,8836,NO,sin_cambio_base
"KZ400","Esmalte 1/8 Negro",6094,6094,7922,7922,8227,8227,8532,8532,8836,8836,NO,sin_cambio_base
"KZ309","Esmalte 1/8 Blanco Mate",6094,6094,7922,7922,8227,8227,8532,8532,8836,8836,NO,sin_cambio_base
"KZ304","Esmalte 1/8 Crema",6094,6094,7922,7922,8227,8227,8532,8532,8836,8836,NO,sin_cambio_base
"KZ300","Esmalte 1/8 Blanco",6094,6094,7922,7922,8227,8227,8532,8532,8836,8836,NO,sin_cambio_base
"KZ207","Esmalte 1/8 Vinotinto",6692,6692,8700,8700,9034,9034,9369,9369,9703,9703,NO,sin_cambio_base
"KZ201","Esmalte 1/8 Rojo Colonial",6094,6094,7922,7922,8227,8227,8532,8532,8836,8836,NO,sin_cambio_base
"KZ200","Esmalte 1/8 Rojo",6692,6692,8700,8700,9034,9034,9369,9369,9703,9703,NO,sin_cambio_base
"KZ114","Esmalte 1/8 Azul Español",6094,6094,7922,7922,8227,8227,8532,8532,8836,8836,NO,sin_cambio_base
"KZ109","Esmalte 1/8 Azul Claro",6094,6094,7922,7922,8227,8227,8532,8532,8836,8836,NO,sin_cambio_base
"KZ100","Esmalte 1/8 Azul Oscuro",6094,6094,7922,7922,8227,8227,8532,8532,8836,8836,NO,sin_cambio_base
"KZ06","Esmalte 1/8 Ocre",6094,6094,7922,7922,8227,8227,8532,8532,8836,8836,NO,sin_cambio_base
"KZ01","Esmalte 1/8 Amarillo",6692,6692,8700,8700,9034,9034,9369,9369,9703,9703,NO,sin_cambio_base
"KX907","Esmalte 1/4 Caoba",9825.2,9825,12773,12773,13264,13264,13755,13755,14246,14247,NO,actualizado
"KX904","Esmalte 1/4 Tabaco",9825.2,9825,12773,12773,13264,13264,13755,13755,14246,14247,NO,actualizado
"KX901","Esmalte 1/4 Aluminio",9825.2,9825,12773,12773,13264,13264,13755,13755,14246,14247,NO,actualizado
"KX700","Esmalte 1/4 Naranja",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"KX612","Esmalte 1/4 Verde Esmeralda",9825.2,9825,12773,12773,13264,13264,13755,13755,14246,14247,NO,actualizado
"KX611","Esmalte 1/4 Verde Pino",9825.2,9825,12773,12773,13264,13264,13755,13755,14246,14247,NO,actualizado
"KX500","Esmalte 1/4 Gris",9825.2,9825,12773,12773,13264,13264,13755,13755,14246,14247,NO,actualizado
"KX401","Esmalte 1/4 Negro Mate",9825.2,9825,12773,12773,13264,13264,13755,13755,14246,14247,NO,actualizado
"KX400","Esmalte 1/4 Negro",9825.2,9825,12773,12773,13264,13264,13755,13755,14246,14247,NO,actualizado
"KX309","Esmalte 1/4 Blanco Mate",9825.2,9825,12773,12773,13264,13264,13755,13755,14246,14247,NO,actualizado
"KX304","Esmalte 1/4 Crema",9825.2,9825,12773,12773,13264,13264,13755,13755,14246,14247,NO,actualizado
"KX300","Esmalte 1/4 Blanco",9825.2,9825,12773,12773,13264,13264,13755,13755,14246,14247,NO,actualizado
"KX207","Esmalte 1/4 Vinotinto",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"KX201","Esmalte 1/4 Rojo Colonial",9825.2,9825,12773,12773,13264,13264,13755,13755,14246,14247,NO,actualizado
"KX200","Esmalte 1/4 Rojo",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"KX114","Esmalte 1/4 Azul Español",9825.2,9825,12773,12773,13264,13264,13755,13755,14246,14247,NO,actualizado
"KX109","Esmalte 1/4 Azul Claro",9825.2,9825,12773,12773,13264,13264,13755,13755,14246,14247,NO,actualizado
"KX100","Esmalte 1/4 Azul Oscuro",9825.2,9825,12773,12773,13264,13264,13755,13755,14246,14247,NO,actualizado
"KX06","Esmalte 1/4 Ocre",9825.2,9825,12773,12773,13264,13264,13755,13755,14246,14247,NO,actualizado
"KX01","Esmalte 1/4 Amarillo",10769.2,10769,14000,14000,14538,14538,15077,15077,15615,15615,NO,actualizado
"KT400","Esmalte Tambor Negro",1923077,1923077,2500000,2500000,2596154,2596154,2692308,2692308,2788462,2788462,NO,sin_cambio_base
"KG908","Esmalte Galón Wengue",30502,30502,39653,39653,41178,41178,42703,42703,44228,44228,NO,sin_cambio_base
"KG907","Esmalte Galón Caoba",30502,30502,39653,39653,41178,41178,42703,42703,44228,44228,NO,sin_cambio_base
"KG904","Esmalte Galón Tabaco",30502,30502,39653,39653,41178,41178,42703,42703,44228,44228,NO,sin_cambio_base
"KG901","Esmalte Galón Aluminio",30502,30502,39653,39653,41178,41178,42703,42703,44228,44228,NO,sin_cambio_base
"KG700","Esmalte Galón Naranja",34230.8,34231,44500,44500,46212,46212,47923,47923,49635,49635,NO,actualizado
"KG612","Esmalte Galón Verde Esmeralda",30502,30502,39653,39653,41178,41178,42703,42703,44228,44228,NO,sin_cambio_base
"KG611","Esmalte Galón Verde Pino",30502,30502,39653,39653,41178,41178,42703,42703,44228,44228,NO,sin_cambio_base
"KG513","Esmalte Galón Gris Mate",30502,30502,39653,39653,41178,41178,42703,42703,44228,44228,NO,sin_cambio_base
"KG500","Esmalte Galón Gris",30502,30502,39653,39653,41178,41178,42703,42703,44228,44228,NO,sin_cambio_base
"KG401","Esmalte Galón Negro Mate",30502,30502,39653,39653,41178,41178,42703,42703,44228,44228,NO,sin_cambio_base
"KG400","Esmalte Galón Negro",30502,30502,39653,39653,41178,41178,42703,42703,44228,44228,NO,sin_cambio_base
"KG309","Esmalte Galón Blanco Mate",30502,30502,39653,39653,41178,41178,42703,42703,44228,44228,NO,sin_cambio_base
"KG304","Esmalte Galón Crema",30502,30502,39653,39653,41178,41178,42703,42703,44228,44228,NO,sin_cambio_base
"KG300","Esmalte Galón Blanco",30502,30502,39653,39653,41178,41178,42703,42703,44228,44228,NO,sin_cambio_base
"KG207","Esmalte Galón Vinotinto",34230.8,34231,44500,44500,46212,46212,47923,47923,49635,49635,NO,actualizado
"KG201","Esmalte Galón Rojo Colonial",30502,30502,39653,39653,41178,41178,42703,42703,44228,44228,NO,sin_cambio_base
